chooseKey,count,grade,keyType,mainCategory,mainKey,name,pricePeOne,subCategory,subKey,totalTradeCount,mainLabel,subLabel,description,
13,,1,0,1,10012,Kalis Longsword,,1,13,,Main Weapon,Longsword,+13 Kalis Longsword (+13 ~ +15),
16,,1,0,1,10012,Kalis Longsword,,1,16,,Main Weapon,Longsword,PRI : Kalis Longsword,
17,,1,0,1,10012,Kalis Longsword,,1,17,,Main Weapon,Longsword,DUO : Kalis Longsword,
18,,1,0,1,10012,Kalis Longsword,,1,18,,Main Weapon,Longsword,TRI : Kalis Longsword,
19,,1,0,1,10012,Kalis Longsword,,1,19,,Main Weapon,Longsword,TET : Kalis Longsword,
20,,1,0,1,10012,Kalis Longsword,,1,20,,Main Weapon,Longsword,PEN : Kalis Longsword,
0,,1,0,1,10013,Bares Longsword,,1,0,,Main Weapon,Longsword,Bares Longsword (+0 ~ +7),
8,,1,0,1,10013,Bares Longsword,,1,8,,Main Weapon,Longsword,+8 Bares Longsword (+8 ~ +10),
11,,1,0,1,10013,Bares Longsword,,1,11,,Main Weapon,Longsword,+11 Bares Longsword (+11 ~ +12),
13,,1,0,1,10013,Bares Longsword,,1,13,,Main Weapon,Longsword,+13 Bares Longsword (+13 ~ +15),
16,,1,0,1,10013,Bares Longsword,,1,16,,Main Weapon,Longsword,PRI : Bares Longsword,
17,,1,0,1,10013,Bares Longsword,,1,17,,Main Weapon,Longsword,DUO : Bares Longsword,
18,,1,0,1,10013,Bares Longsword,,1,18,,Main Weapon,Longsword,TRI : Bares Longsword,
19,,1,0,1,10013,Bares Longsword,,1,19,,Main Weapon,Longsword,TET : Bares Longsword,
20,,1,0,1,10013,Bares Longsword,,1,20,,Main Weapon,Longsword,PEN : Bares Longsword,
0,,1,0,1,10014,Yuria Longsword,,1,0,,Main Weapon,Longsword,Yuria Longsword (+0 ~ +7),
8,,1,0,1,10014,Yuria Longsword,,1,8,,Main Weapon,Longsword,+8 Yuria Longsword (+8 ~ +10),
11,,1,0,1,10014,Yuria Longsword,,1,11,,Main Weapon,Longsword,+11 Yuria Longsword (+11 ~ +12),
13,,1,0,1,10014,Yuria Longsword,,1,13,,Main Weapon,Longsword,+13 Yuria Longsword (+13 ~ +15),
16,,1,0,1,10014,Yuria Longsword,,1,16,,Main Weapon,Longsword,PRI : Yuria Longsword,
17,,1,0,1,10014,Yuria Longsword,,1,17,,Main Weapon,Longsword,DUO : Yuria Longsword,
18,,1,0,1,10014,Yuria Longsword,,1,18,,Main Weapon,Longsword,TRI : Yuria Longsword,
19,,1,0,1,10014,Yuria Longsword,,1,19,,Main Weapon,Longsword,TET : Yuria Longsword,
20,,1,0,1,10014,Yuria Longsword,,1,20,,Main Weapon,Longsword,PEN : Yuria Longsword,
0,,1,0,1,10056,Krea Longsword,,1,0,,Main Weapon,Longsword,Krea Longsword (+0 ~ +7),
8,,1,0,1,10056,Krea Longsword,,1,8,,Main Weapon,Longsword,+8 Krea Longsword (+8 ~ +10),
11,,1,0,1,10056,Krea Longsword,,1,11,,Main Weapon,Longsword,+11 Krea Longsword (+11 ~ +12),
13,,1,0,1,10056,Krea Longsword,,1,13,,Main Weapon,Longsword,+13 Krea Longsword (+13 ~ +15),
16,,1,0,1,10056,Krea Longsword,,1,16,,Main Weapon,Longsword,PRI : Krea Longsword,
17,,1,0,1,10056,Krea Longsword,,1,17,,Main Weapon,Longsword,DUO : Krea Longsword,
18,,1,0,1,10056,Krea Longsword,,1,18,,Main Weapon,Longsword,TRI : Krea Longsword,
19,,1,0,1,10056,Krea Longsword,,1,19,,Main Weapon,Longsword,TET : Krea Longsword,
20,,1,0,1,10056,Krea Longsword,,1,20,,Main Weapon,Longsword,PEN : Krea Longsword,
0,,1,0,1,10057,Rosar Longsword,,1,0,,Main Weapon,Longsword,Rosar Longsword (+0 ~ +7),
8,,1,0,1,10057,Rosar Longsword,,1,8,,Main Weapon,Longsword,+8 Rosar Longsword (+8 ~ +10),
11,,1,0,1,10057,Rosar Longsword,,1,11,,Main Weapon,Longsword,+11 Rosar Longsword (+11 ~ +12),
13,,1,0,1,10057,Rosar Longsword,,1,13,,Main Weapon,Longsword,+13 Rosar Longsword (+13 ~ +15),
16,,1,0,1,10057,Rosar Longsword,,1,16,,Main Weapon,Longsword,PRI : Rosar Longsword,
17,,1,0,1,10057,Rosar Longsword,,1,17,,Main Weapon,Longsword,DUO : Rosar Longsword,
18,,1,0,1,10057,Rosar Longsword,,1,18,,Main Weapon,Longsword,TRI : Rosar Longsword,
19,,1,0,1,10057,Rosar Longsword,,1,19,,Main Weapon,Longsword,TET : Rosar Longsword,
20,,1,0,1,10057,Rosar Longsword,,1,20,,Main Weapon,Longsword,PEN : Rosar Longsword,
0,,1,0,1,10071,Styd Longsword,,1,0,,Main Weapon,Longsword,Styd Longsword,
0,,2,0,1,10072,Ultimate Styd Longsword,,1,0,,Main Weapon,Longsword,Ultimate Styd Longsword,
0,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,0,,Main Weapon,Longsword,Offin Tett's Radiant Longsword (+0 ~ +7),
8,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,8,,Main Weapon,Longsword,+8 Offin Tett's Radiant Longsword (+8 ~ +10),
11,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,11,,Main Weapon,Longsword,+11 Offin Tett's Radiant Longsword (+11 ~ +12),
13,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,13,,Main Weapon,Longsword,+13 Offin Tett's Radiant Longsword,
14,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,14,,Main Weapon,Longsword,+14 Offin Tett's Radiant Longsword,
15,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,15,,Main Weapon,Longsword,+15 Offin Tett's Radiant Longsword,
16,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,16,,Main Weapon,Longsword,PRI : Offin Tett's Radiant Longsword,
17,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,17,,Main Weapon,Longsword,DUO : Offin Tett's Radiant Longsword,
18,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,18,,Main Weapon,Longsword,TRI : Offin Tett's Radiant Longsword,
19,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,19,,Main Weapon,Longsword,TET : Offin Tett's Radiant Longsword,
20,,3,0,1,10086,Offin Tett's Radiant Longsword,,1,20,,Main Weapon,Longsword,PEN : Offin Tett's Radiant Longsword,
0,,4,0,1,715001,Blackstar Longsword,,1,0,,Main Weapon,Longsword,Blackstar Longsword (+0 ~ +7),
8,,4,0,1,715001,Blackstar Longsword,,1,8,,Main Weapon,Longsword,+8 Blackstar Longsword (+8 ~ +10),
11,,4,0,1,715001,Blackstar Longsword,,1,11,,Main Weapon,Longsword,+11 Blackstar Longsword (+11 ~ +12),
13,,4,0,1,715001,Blackstar Longsword,,1,13,,Main Weapon,Longsword,+13 Blackstar Longsword,
14,,4,0,1,715001,Blackstar Longsword,,1,14,,Main Weapon,Longsword,+14 Blackstar Longsword,
15,,4,0,1,715001,Blackstar Longsword,,1,15,,Main Weapon,Longsword,+15 Blackstar Longsword,
16,,4,0,1,715001,Blackstar Longsword,,1,16,,Main Weapon,Longsword,PRI : Blackstar Longsword,
17,,4,0,1,715001,Blackstar Longsword,,1,17,,Main Weapon,Longsword,DUO : Blackstar Longsword,
18,,4,0,1,715001,Blackstar Longsword,,1,18,,Main Weapon,Longsword,TRI : Blackstar Longsword,
19,,4,0,1,715001,Blackstar Longsword,,1,19,,Main Weapon,Longsword,TET : Blackstar Longsword,
20,,4,0,1,715001,Blackstar Longsword,,1,20,,Main Weapon,Longsword,PEN : Blackstar Longsword,
0,,1,0,1,10203,Elsh Longbow,,2,0,,Main Weapon,Longbow,Elsh Longbow (+0 ~ +7),
8,,1,0,1,10203,Elsh Longbow,,2,8,,Main Weapon,Longbow,+8 Elsh Longbow (+8 ~ +10),
11,,1,0,1,10203,Elsh Longbow,,2,11,,Main Weapon,Longbow,+11 Elsh Longbow (+11 ~ +12),
13,,1,0,1,10203,Elsh Longbow,,2,13,,Main Weapon,Longbow,+13 Elsh Longbow (+13 ~ +15),
16,,1,0,1,10203,Elsh Longbow,,2,16,,Main Weapon,Longbow,PRI : Elsh Longbow,
17,,1,0,1,10203,Elsh Longbow,,2,17,,Main Weapon,Longbow,DUO : Elsh Longbow,
18,,1,0,1,10203,Elsh Longbow,,2,18,,Main Weapon,Longbow,TRI : Elsh Longbow,
19,,1,0,1,10203,Elsh Longbow,,2,19,,Main Weapon,Longbow,TET : Elsh Longbow,
20,,1,0,1,10203,Elsh Longbow,,2,20,,Main Weapon,Longbow,PEN : Elsh Longbow,
0,,1,0,1,10205,Azwell Longbow,,2,0,,Main Weapon,Longbow,Azwell Longbow (+0 ~ +7),
8,,1,0,1,10205,Azwell Longbow,,2,8,,Main Weapon,Longbow,+8 Azwell Longbow (+8 ~ +10),
11,,1,0,1,10205,Azwell Longbow,,2,11,,Main Weapon,Longbow,+11 Azwell Longbow (+11 ~ +12),
13,,1,0,1,10205,Azwell Longbow,,2,13,,Main Weapon,Longbow,+13 Azwell Longbow (+13 ~ +15),
16,,1,0,1,10205,Azwell Longbow,,2,16,,Main Weapon,Longbow,PRI : Azwell Longbow,
17,,1,0,1,10205,Azwell Longbow,,2,17,,Main Weapon,Longbow,DUO : Azwell Longbow,
18,,1,0,1,10205,Azwell Longbow,,2,18,,Main Weapon,Longbow,TRI : Azwell Longbow,
19,,1,0,1,10205,Azwell Longbow,,2,19,,Main Weapon,Longbow,TET : Azwell Longbow,
20,,1,0,1,10205,Azwell Longbow,,2,20,,Main Weapon,Longbow,PEN : Azwell Longbow,
0,,1,0,1,10206,Ain Longbow,,2,0,,Main Weapon,Longbow,Ain Longbow (+0 ~ +7),
8,,1,0,1,10206,Ain Longbow,,2,8,,Main Weapon,Longbow,+8 Ain Longbow (+8 ~ +10),
11,,1,0,1,10206,Ain Longbow,,2,11,,Main Weapon,Longbow,+11 Ain Longbow (+11 ~ +12),
13,,1,0,1,10206,Ain Longbow,,2,13,,Main Weapon,Longbow,+13 Ain Longbow (+13 ~ +15),
16,,1,0,1,10206,Ain Longbow,,2,16,,Main Weapon,Longbow,PRI : Ain Longbow,
17,,1,0,1,10206,Ain Longbow,,2,17,,Main Weapon,Longbow,DUO : Ain Longbow,
18,,1,0,1,10206,Ain Longbow,,2,18,,Main Weapon,Longbow,TRI : Ain Longbow,
19,,1,0,1,10206,Ain Longbow,,2,19,,Main Weapon,Longbow,TET : Ain Longbow,
20,,1,0,1,10206,Ain Longbow,,2,20,,Main Weapon,Longbow,PEN : Ain Longbow,
0,,1,0,1,10005,Azwell Longsword,,1,0,,Main Weapon,Longsword,Azwell Longsword (+0 ~ +7),
8,,1,0,1,10005,Azwell Longsword,,1,8,,Main Weapon,Longsword,+8 Azwell Longsword (+8 ~ +10),
11,,1,0,1,10005,Azwell Longsword,,1,11,,Main Weapon,Longsword,+11 Azwell Longsword (+11 ~ +12),
13,,1,0,1,10005,Azwell Longsword,,1,13,,Main Weapon,Longsword,+13 Azwell Longsword (+13 ~ +15),
16,,1,0,1,10005,Azwell Longsword,,1,16,,Main Weapon,Longsword,PRI : Azwell Longsword,
17,,1,0,1,10005,Azwell Longsword,,1,17,,Main Weapon,Longsword,DUO : Azwell Longsword,
18,,1,0,1,10005,Azwell Longsword,,1,18,,Main Weapon,Longsword,TRI : Azwell Longsword,
19,,1,0,1,10005,Azwell Longsword,,1,19,,Main Weapon,Longsword,TET : Azwell Longsword,
20,,1,0,1,10005,Azwell Longsword,,1,20,,Main Weapon,Longsword,PEN : Azwell Longsword,
0,,1,0,1,10006,Ain Longsword,,1,0,,Main Weapon,Longsword,Ain Longsword (+0 ~ +7),
8,,1,0,1,10006,Ain Longsword,,1,8,,Main Weapon,Longsword,+8 Ain Longsword (+8 ~ +10),
11,,1,0,1,10006,Ain Longsword,,1,11,,Main Weapon,Longsword,+11 Ain Longsword (+11 ~ +12),
13,,1,0,1,10006,Ain Longsword,,1,13,,Main Weapon,Longsword,+13 Ain Longsword (+13 ~ +15),
16,,1,0,1,10006,Ain Longsword,,1,16,,Main Weapon,Longsword,PRI : Ain Longsword,
17,,1,0,1,10006,Ain Longsword,,1,17,,Main Weapon,Longsword,DUO : Ain Longsword,
18,,1,0,1,10006,Ain Longsword,,1,18,,Main Weapon,Longsword,TRI : Ain Longsword,
19,,1,0,1,10006,Ain Longsword,,1,19,,Main Weapon,Longsword,TET : Ain Longsword,
20,,1,0,1,10006,Ain Longsword,,1,20,,Main Weapon,Longsword,PEN : Ain Longsword,
0,,1,0,1,10207,Seleth Longbow,,2,0,,Main Weapon,Longbow,Seleth Longbow (+0 ~ +7),
8,,1,0,1,10207,Seleth Longbow,,2,8,,Main Weapon,Longbow,+8 Seleth Longbow (+8 ~ +10),
11,,1,0,1,10207,Seleth Longbow,,2,11,,Main Weapon,Longbow,+11 Seleth Longbow (+11 ~ +12),
13,,1,0,1,10207,Seleth Longbow,,2,13,,Main Weapon,Longbow,+13 Seleth Longbow (+13 ~ +15),
16,,1,0,1,10207,Seleth Longbow,,2,16,,Main Weapon,Longbow,PRI : Seleth Longbow,
17,,1,0,1,10207,Seleth Longbow,,2,17,,Main Weapon,Longbow,DUO : Seleth Longbow,
18,,1,0,1,10207,Seleth Longbow,,2,18,,Main Weapon,Longbow,TRI : Seleth Longbow,
19,,1,0,1,10207,Seleth Longbow,,2,19,,Main Weapon,Longbow,TET : Seleth Longbow,
20,,1,0,1,10207,Seleth Longbow,,2,20,,Main Weapon,Longbow,PEN : Seleth Longbow,
0,,2,0,1,10209,Liverto Longbow,,2,0,,Main Weapon,Longbow,Liverto Longbow (+0 ~ +7),
8,,2,0,1,10209,Liverto Longbow,,2,8,,Main Weapon,Longbow,+8 Liverto Longbow (+8 ~ +10),
11,,2,0,1,10209,Liverto Longbow,,2,11,,Main Weapon,Longbow,+11 Liverto Longbow (+11 ~ +12),
13,,2,0,1,10209,Liverto Longbow,,2,13,,Main Weapon,Longbow,+13 Liverto Longbow,
14,,2,0,1,10209,Liverto Longbow,,2,14,,Main Weapon,Longbow,+14 Liverto Longbow,
15,,2,0,1,10209,Liverto Longbow,,2,15,,Main Weapon,Longbow,+15 Liverto Longbow,
16,,2,0,1,10209,Liverto Longbow,,2,16,,Main Weapon,Longbow,PRI : Liverto Longbow,
17,,2,0,1,10209,Liverto Longbow,,2,17,,Main Weapon,Longbow,DUO : Liverto Longbow,
18,,2,0,1,10209,Liverto Longbow,,2,18,,Main Weapon,Longbow,TRI : Liverto Longbow,
19,,2,0,1,10209,Liverto Longbow,,2,19,,Main Weapon,Longbow,TET : Liverto Longbow,
20,,2,0,1,10209,Liverto Longbow,,2,20,,Main Weapon,Longbow,PEN : Liverto Longbow,
0,,3,0,1,10210,Kzarka Longbow,,2,0,,Main Weapon,Longbow,Kzarka Longbow (+0 ~ +7),
8,,3,0,1,10210,Kzarka Longbow,,2,8,,Main Weapon,Longbow,+8 Kzarka Longbow (+8 ~ +10),
11,,3,0,1,10210,Kzarka Longbow,,2,11,,Main Weapon,Longbow,+11 Kzarka Longbow (+11 ~ +12),
13,,3,0,1,10210,Kzarka Longbow,,2,13,,Main Weapon,Longbow,+13 Kzarka Longbow,
14,,3,0,1,10210,Kzarka Longbow,,2,14,,Main Weapon,Longbow,+14 Kzarka Longbow,
15,,3,0,1,10210,Kzarka Longbow,,2,15,,Main Weapon,Longbow,+15 Kzarka Longbow,
16,,3,0,1,10210,Kzarka Longbow,,2,16,,Main Weapon,Longbow,PRI : Kzarka Longbow,
17,,3,0,1,10210,Kzarka Longbow,,2,17,,Main Weapon,Longbow,DUO : Kzarka Longbow,
18,,3,0,1,10210,Kzarka Longbow,,2,18,,Main Weapon,Longbow,TRI : Kzarka Longbow,
19,,3,0,1,10210,Kzarka Longbow,,2,19,,Main Weapon,Longbow,TET : Kzarka Longbow,
20,,3,0,1,10210,Kzarka Longbow,,2,20,,Main Weapon,Longbow,PEN : Kzarka Longbow,
0,,1,0,1,10212,Kalis Longbow,,2,0,,Main Weapon,Longbow,Kalis Longbow (+0 ~ +7),
8,,1,0,1,10212,Kalis Longbow,,2,8,,Main Weapon,Longbow,+8 Kalis Longbow (+8 ~ +10),
11,,1,0,1,10212,Kalis Longbow,,2,11,,Main Weapon,Longbow,+11 Kalis Longbow (+11 ~ +12),
13,,1,0,1,10212,Kalis Longbow,,2,13,,Main Weapon,Longbow,+13 Kalis Longbow (+13 ~ +15),
16,,1,0,1,10212,Kalis Longbow,,2,16,,Main Weapon,Longbow,PRI : Kalis Longbow,
17,,1,0,1,10212,Kalis Longbow,,2,17,,Main Weapon,Longbow,DUO : Kalis Longbow,
18,,1,0,1,10212,Kalis Longbow,,2,18,,Main Weapon,Longbow,TRI : Kalis Longbow,
19,,1,0,1,10212,Kalis Longbow,,2,19,,Main Weapon,Longbow,TET : Kalis Longbow,
20,,1,0,1,10212,Kalis Longbow,,2,20,,Main Weapon,Longbow,PEN : Kalis Longbow,
0,,1,0,1,10213,Bares Longbow,,2,0,,Main Weapon,Longbow,Bares Longbow (+0 ~ +7),
8,,1,0,1,10213,Bares Longbow,,2,8,,Main Weapon,Longbow,+8 Bares Longbow (+8 ~ +10),
11,,1,0,1,10213,Bares Longbow,,2,11,,Main Weapon,Longbow,+11 Bares Longbow (+11 ~ +12),
13,,1,0,1,10213,Bares Longbow,,2,13,,Main Weapon,Longbow,+13 Bares Longbow (+13 ~ +15),
16,,1,0,1,10213,Bares Longbow,,2,16,,Main Weapon,Longbow,PRI : Bares Longbow,
17,,1,0,1,10213,Bares Longbow,,2,17,,Main Weapon,Longbow,DUO : Bares Longbow,
18,,1,0,1,10213,Bares Longbow,,2,18,,Main Weapon,Longbow,TRI : Bares Longbow,
19,,1,0,1,10213,Bares Longbow,,2,19,,Main Weapon,Longbow,TET : Bares Longbow,
20,,1,0,1,10213,Bares Longbow,,2,20,,Main Weapon,Longbow,PEN : Bares Longbow,
0,,1,0,1,10214,Yuria Longbow,,2,0,,Main Weapon,Longbow,Yuria Longbow (+0 ~ +7),
8,,1,0,1,10214,Yuria Longbow,,2,8,,Main Weapon,Longbow,+8 Yuria Longbow (+8 ~ +10),
11,,1,0,1,10214,Yuria Longbow,,2,11,,Main Weapon,Longbow,+11 Yuria Longbow (+11 ~ +12),
13,,1,0,1,10214,Yuria Longbow,,2,13,,Main Weapon,Longbow,+13 Yuria Longbow (+13 ~ +15),
16,,1,0,1,10214,Yuria Longbow,,2,16,,Main Weapon,Longbow,PRI : Yuria Longbow,
17,,1,0,1,10214,Yuria Longbow,,2,17,,Main Weapon,Longbow,DUO : Yuria Longbow,
18,,1,0,1,10214,Yuria Longbow,,2,18,,Main Weapon,Longbow,TRI : Yuria Longbow,
19,,1,0,1,10214,Yuria Longbow,,2,19,,Main Weapon,Longbow,TET : Yuria Longbow,
20,,1,0,1,10214,Yuria Longbow,,2,20,,Main Weapon,Longbow,PEN : Yuria Longbow,
0,,1,0,1,10256,Krea Longbow,,2,0,,Main Weapon,Longbow,Krea Longbow (+0 ~ +7),
8,,1,0,1,10256,Krea Longbow,,2,8,,Main Weapon,Longbow,+8 Krea Longbow (+8 ~ +10),
11,,1,0,1,10256,Krea Longbow,,2,11,,Main Weapon,Longbow,+11 Krea Longbow (+11 ~ +12),
13,,1,0,1,10256,Krea Longbow,,2,13,,Main Weapon,Longbow,+13 Krea Longbow (+13 ~ +15),
16,,1,0,1,10256,Krea Longbow,,2,16,,Main Weapon,Longbow,PRI : Krea Longbow,
17,,1,0,1,10256,Krea Longbow,,2,17,,Main Weapon,Longbow,DUO : Krea Longbow,
18,,1,0,1,10256,Krea Longbow,,2,18,,Main Weapon,Longbow,TRI : Krea Longbow,
19,,1,0,1,10256,Krea Longbow,,2,19,,Main Weapon,Longbow,TET : Krea Longbow,
20,,1,0,1,10256,Krea Longbow,,2,20,,Main Weapon,Longbow,PEN : Krea Longbow,
0,,1,0,1,10257,Rosar Longbow,,2,0,,Main Weapon,Longbow,Rosar Longbow (+0 ~ +7),
8,,1,0,1,10257,Rosar Longbow,,2,8,,Main Weapon,Longbow,+8 Rosar Longbow (+8 ~ +10),
11,,1,0,1,10257,Rosar Longbow,,2,11,,Main Weapon,Longbow,+11 Rosar Longbow (+11 ~ +12),
13,,1,0,1,10257,Rosar Longbow,,2,13,,Main Weapon,Longbow,+13 Rosar Longbow (+13 ~ +15),
16,,1,0,1,10257,Rosar Longbow,,2,16,,Main Weapon,Longbow,PRI : Rosar Longbow,
17,,1,0,1,10257,Rosar Longbow,,2,17,,Main Weapon,Longbow,DUO : Rosar Longbow,
18,,1,0,1,10257,Rosar Longbow,,2,18,,Main Weapon,Longbow,TRI : Rosar Longbow,
19,,1,0,1,10257,Rosar Longbow,,2,19,,Main Weapon,Longbow,TET : Rosar Longbow,
20,,1,0,1,10257,Rosar Longbow,,2,20,,Main Weapon,Longbow,PEN : Rosar Longbow,
0,,1,0,1,10271,Styd Longbow,,2,0,,Main Weapon,Longbow,Styd Longbow,
0,,2,0,1,10272,Ultimate Styd Longbow,,2,0,,Main Weapon,Longbow,Ultimate Styd Longbow,
0,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,0,,Main Weapon,Longbow,Offin Tett's Radiant Longbow (+0 ~ +7),
8,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,8,,Main Weapon,Longbow,+8 Offin Tett's Radiant Longbow (+8 ~ +10),
11,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,11,,Main Weapon,Longbow,+11 Offin Tett's Radiant Longbow (+11 ~ +12),
13,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,13,,Main Weapon,Longbow,+13 Offin Tett's Radiant Longbow,
14,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,14,,Main Weapon,Longbow,+14 Offin Tett's Radiant Longbow,
15,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,15,,Main Weapon,Longbow,+15 Offin Tett's Radiant Longbow,
16,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,16,,Main Weapon,Longbow,PRI : Offin Tett's Radiant Longbow,
17,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,17,,Main Weapon,Longbow,DUO : Offin Tett's Radiant Longbow,
18,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,18,,Main Weapon,Longbow,TRI : Offin Tett's Radiant Longbow,
19,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,19,,Main Weapon,Longbow,TET : Offin Tett's Radiant Longbow,
20,,3,0,1,10286,Offin Tett's Radiant Longbow,,2,20,,Main Weapon,Longbow,PEN : Offin Tett's Radiant Longbow,
0,,4,0,1,715003,Blackstar Longbow,,2,0,,Main Weapon,Longbow,Blackstar Longbow (+0 ~ +7),
8,,4,0,1,715003,Blackstar Longbow,,2,8,,Main Weapon,Longbow,+8 Blackstar Longbow (+8 ~ +10),
11,,4,0,1,715003,Blackstar Longbow,,2,11,,Main Weapon,Longbow,+11 Blackstar Longbow (+11 ~ +12),
13,,4,0,1,715003,Blackstar Longbow,,2,13,,Main Weapon,Longbow,+13 Blackstar Longbow,
14,,4,0,1,715003,Blackstar Longbow,,2,14,,Main Weapon,Longbow,+14 Blackstar Longbow,
15,,4,0,1,715003,Blackstar Longbow,,2,15,,Main Weapon,Longbow,+15 Blackstar Longbow,
16,,4,0,1,715003,Blackstar Longbow,,2,16,,Main Weapon,Longbow,PRI : Blackstar Longbow,
17,,4,0,1,715003,Blackstar Longbow,,2,17,,Main Weapon,Longbow,DUO : Blackstar Longbow,
18,,4,0,1,715003,Blackstar Longbow,,2,18,,Main Weapon,Longbow,TRI : Blackstar Longbow,
19,,4,0,1,715003,Blackstar Longbow,,2,19,,Main Weapon,Longbow,TET : Blackstar Longbow,
20,,4,0,1,715003,Blackstar Longbow,,2,20,,Main Weapon,Longbow,PEN : Blackstar Longbow,
0,,1,0,1,10403,Elsh Amulet,,3,0,,Main Weapon,Amulet,Elsh Amulet (+0 ~ +7),
8,,1,0,1,10403,Elsh Amulet,,3,8,,Main Weapon,Amulet,+8 Elsh Amulet (+8 ~ +10),
11,,1,0,1,10403,Elsh Amulet,,3,11,,Main Weapon,Amulet,+11 Elsh Amulet (+11 ~ +12),
13,,1,0,1,10403,Elsh Amulet,,3,13,,Main Weapon,Amulet,+13 Elsh Amulet (+13 ~ +15),
16,,1,0,1,10403,Elsh Amulet,,3,16,,Main Weapon,Amulet,PRI : Elsh Amulet,
17,,1,0,1,10403,Elsh Amulet,,3,17,,Main Weapon,Amulet,DUO : Elsh Amulet,
18,,1,0,1,10403,Elsh Amulet,,3,18,,Main Weapon,Amulet,TRI : Elsh Amulet,
19,,1,0,1,10403,Elsh Amulet,,3,19,,Main Weapon,Amulet,TET : Elsh Amulet,
20,,1,0,1,10403,Elsh Amulet,,3,20,,Main Weapon,Amulet,PEN : Elsh Amulet,
0,,1,0,1,10405,Azwell Amulet,,3,0,,Main Weapon,Amulet,Azwell Amulet (+0 ~ +7),
8,,1,0,1,10405,Azwell Amulet,,3,8,,Main Weapon,Amulet,+8 Azwell Amulet (+8 ~ +10),
11,,1,0,1,10405,Azwell Amulet,,3,11,,Main Weapon,Amulet,+11 Azwell Amulet (+11 ~ +12),
